function,lib
status_line,not found
close_connect_only,libcurl
allocate_conn,not found
gtls_connect_step1,not found
hyper_each_header,not found
ossl_init,libcurl
prune_dead_connections,not found
ossl_connect_step1,libcurl
get_alg_id_by_name,not found
Curl_connecthost,not found
imap_state_starttls_resp,not found
CreateConnection,not found
verifystatus,not found
smtp_state_starttls_resp,not found
parseurlandfillconn,not found
AC_MSG_NOTICE,not found
Curl_ssl_config_matches,libcurl
dprintf_formatf,libcurl
strlen,libcurl
bad_domain,not found
find_encoding,not found
Curl_getconnectinfo,libcurl
ftp_do_more,libcurl
ourWriteOut,not found
multi_done,libcurl
sectransp_connect_step1,not found
Curl_http_auth_act,libcurl
failf,not found
wssh_statemach_act,not found
check_include_file_concat,not found
Curl_close,libcurl
Curl_cert_hostcheck,libcurl
Curl_http_body,libcurl
darwinssl_connect_step1,not found
ftp_state_prepare_transfer,libcurl
ossl_get_internals,libcurl
cyassl_connect_step3,not found
Curl_free_ssl_config,not found
Curl_build_unencoding_stack,libcurl
krb5_decode,not found
Curl_ntlm_core_mk_ntlmv2_hash,not found
ossl_connect_step3,not found
Curl_setstropt,libcurl
__pragma,not found
smb_request_state,not found
rtmp_do,not found
ftp_state_list,not found
_add_if,not found
getparameter,not found
Curl_ntlm_core_mk_nt_hash,not found
alloc_addbyter,libcurl
smtp_perform,not found
ftp_setup_connection,not found
voutf,not found
gtls_connect_step3,not found
parsenetrc,not found
Curl_multiplex_wanted,libcurl
Curl_urldecode,libcurl
curl_multi_remove_handle,libcurl
create_conn,not found
bearssl_connect_step3,not found
ftp_done,not found
tftp_send_first,libcurl
pop3_state_capa_resp,not found
ftp_statemachine,libcurl
Curl_http_method,libcurl
netware_init,not found
tool_header_cb,not found
Curl_ssl_getsessionid,libcurl
SelectClientCert,not found
