CVE-2023-46218,7.81.0,8.5.0,libcurl,Curl_cookie_add,Curl_cookie_add
CVE-2023-27535,7.81.0,8.0.0,libcurl,ftp_setup_connection,ftp_setup_connection
CVE-2023-27534,7.81.0,8.0.0,libcurl,Curl_getworkingpath,Curl_getworkingpath
CVE-2023-23916,7.81.0,7.88.0,libcurl,Curl_build_unencoding_stack,Curl_build_unencoding_stack
CVE-2023-23915,7.81.0,7.88.0,libcurl,curl_share_setopt,curl_share_setopt
CVE-2023-23915,7.81.0,7.88.0,libcurl,Curl_vsetopt,Curl_vsetopt
CVE-2023-23915,7.81.0,7.88.0,libcurl,Curl_pretransfer,Curl_pretransfer
CVE-2023-23915,7.81.0,7.88.0,libcurl,Curl_hsts_loadfiles,Curl_hsts_loadfiles
CVE-2023-23915,7.81.0,7.88.0,libcurl,Curl_close,Curl_close
CVE-2023-23915,7.81.0,7.88.0,libcurl,curl_share_cleanup,curl_share_cleanup
CVE-2023-23914,7.81.0,7.88.0,libcurl,curl_share_setopt,curl_share_setopt
CVE-2023-23914,7.81.0,7.88.0,libcurl,Curl_vsetopt,Curl_vsetopt
CVE-2023-23914,7.81.0,7.88.0,libcurl,Curl_pretransfer,Curl_pretransfer
CVE-2023-23914,7.81.0,7.88.0,libcurl,Curl_hsts_loadfiles,Curl_hsts_loadfiles
CVE-2023-23914,7.81.0,7.88.0,libcurl,Curl_close,Curl_close
CVE-2023-23914,7.81.0,7.88.0,libcurl,curl_share_cleanup,curl_share_cleanup
CVE-2022-43551,7.81.0,7.87.0,libcurl,Curl_http_header,Curl_http_header
CVE-2022-42916,7.81.0,7.86.0,libcurl,Curl_connect,Curl_connect
CVE-2022-42915,7.81.0,7.86.0,libcurl,Curl_disconnect,Curl_disconnect
CVE-2022-42915,7.81.0,7.86.0,libcurl,Curl_connect_done,Curl_connect_done
CVE-2022-32221,7.81.0,7.86.0,libcurl,Curl_vsetopt,Curl_vsetopt
CVE-2022-35252,7.81.0,7.85.0,libcurl,Curl_cookie_add,Curl_cookie_add
CVE-2022-32208,7.81.0,7.84.0,libcurl,read_data,read_data
CVE-2022-32208,7.81.0,7.84.0,libcurl,krb5_decode,krb5_decode
CVE-2022-32207,7.81.0,7.84.0,libcurl,Curl_flush_cookies,Curl_flush_cookies
CVE-2022-32207,7.81.0,7.84.0,libcurl,Curl_fopen,Curl_fopen
CVE-2022-32206,7.81.0,7.84.0,libcurl,Curl_build_unencoding_stack,Curl_build_unencoding_stack
CVE-2022-32205,7.81.0,7.84.0,libcurl,Curl_cookie_add,Curl_cookie_add
CVE-2022-32205,7.81.0,7.84.0,libcurl,Curl_http_cookies,Curl_http_cookies
CVE-2022-32205,7.81.0,7.84.0,libcurl,Curl_cookie_getlist,Curl_cookie_getlist
CVE-2022-27782,7.81.0,7.83.1,libcurl,Curl_connect,Curl_connect
CVE-2022-27781,7.81.0,7.83.1,libcurl,display_conn_info,display_conn_info
CVE-2022-27776,7.81.0,7.83.0,libcurl,Curl_http_host,Curl_http_host
CVE-2022-27776,7.81.0,7.83.0,libcurl,Curl_allow_auth_to_host,Curl_allow_auth_to_host
CVE-2022-27776,7.81.0,7.83.0,libcurl,Curl_add_custom_headers,Curl_add_custom_headers
CVE-2022-27776,7.81.0,7.83.0,libcurl,Curl_http_output_auth,Curl_http_output_auth
CVE-2022-27775,7.81.0,7.83.0,libcurl,Curl_conncache_find_bundle,Curl_conncache_find_bundle
CVE-2022-27775,7.81.0,7.83.0,libcurl,Curl_conncache_add_conn,Curl_conncache_add_conn
CVE-2022-27774,7.81.0,7.83.0,libcurl,Curl_allow_auth_to_host,Curl_allow_auth_to_host
CVE-2022-27774,7.81.0,7.83.0,libcurl,Curl_add_custom_headers,Curl_add_custom_headers
CVE-2022-27774,7.81.0,7.83.0,libcurl,Curl_http_output_auth,Curl_http_output_auth
CVE-2022-27774,7.81.0,7.83.0,libcurl,ossl_connect_step1,ossl_connect_step1
CVE-2022-27774,7.81.0,7.83.0,libcurl,allow_auth_to_host,allow_auth_to_host
CVE-2022-22576,7.81.0,7.83.0,libcurl,Curl_connect,Curl_connect
CVE-2022-22576,7.81.0,7.83.0,libcurl,Curl_ssl_config_matches,Curl_ssl_config_matches
CVE-2022-22576,7.81.0,7.83.0,libcurl,Curl_safecmp,Curl_safecmp
CVE-2022-22576,7.81.0,7.83.0,libcurl,conn_free,conn_free
CVE-2022-22576,7.81.0,7.83.0,libcurl,safecmp,safecmp
