CVE-2023-46218,8.5.0,Curl_cookie_add
CVE-2021-22890,7.76.0,mesalink_connect_step1
CVE-2021-22890,7.76.0,bearssl_connect_step3
CVE-2021-22890,7.76.0,Curl_ssl_sessionid_unlock
CVE-2021-22890,7.76.0,mbed_connect_step3
CVE-2021-22890,7.76.0,mesalink_connect_step3
CVE-2021-22890,7.76.0,ossl_connect_step1
CVE-2021-22890,7.76.0,Curl_ssl_getsessionid
CVE-2021-22890,7.76.0,gtls_connect_step3
CVE-2021-22890,7.76.0,Curl_ssl_addsessionid
CVE-2021-22890,7.76.0,schannel_connect_step3
CVE-2021-22890,7.76.0,bearssl_connect_step1
CVE-2021-22890,7.76.0,gtls_connect_step1
CVE-2021-22890,7.76.0,mbed_connect_step1
CVE-2021-22890,7.76.0,ossl_get_ssl_conn_index
CVE-2021-22876,7.76.0,Curl_follow
CVE-2020-8286,7.74.0,verifystatus
CVE-2020-8285,7.74.0,init_wc_data
CVE-2020-8284,7.74.0,config_init
CVE-2020-8284,7.74.0,Curl_init_userdefined
CVE-2020-8284,7.74.0,main
CVE-2020-8231,7.72.0,curl_easy_duphandle
CVE-2020-8231,7.72.0,curl_multi_add_handle
CVE-2020-8231,7.72.0,Curl_getconnectinfo
CVE-2020-8231,7.72.0,curl_multi_remove_handle
CVE-2020-8231,7.72.0,Curl_open
CVE-2020-8231,7.72.0,close_connect_only
CVE-2020-8231,7.72.0,multi_done
CVE-2020-8231,7.72.0,Curl_connecthost
CVE-2020-8177,7.71.0,getparameter
CVE-2020-8177,7.71.0,tool_header_cb
CVE-2020-8169,7.71.0,override_login
